date,session_key,driver_number,gap_to_leader,meeting_key,interval
2025-10-05T12:04:31.347000+00:00,9896,23,9.421,1270,0.401
2025-10-05T12:04:31.530000+00:00,9896,14,5.061,1270,
2025-10-05T12:04:31.794000+00:00,9896,87,5.303,1270,0.242
2025-10-05T12:04:31.841000+00:00,9896,1,1.344,1270,1.344
2025-10-05T12:04:32.170000+00:00,9896,27,5.686,1270,0.383
2025-10-05T12:04:32.473000+00:00,9896,4,1.876,1270,0.532
2025-10-05T12:04:32.565000+00:00,9896,30,6.088,1270,0.402
2025-10-05T12:04:32.865000+00:00,9896,81,2.338,1270,0.462
2025-10-05T12:04:33.041000+00:00,9896,43,6.583,1270,0.495
2025-10-05T12:04:33.605000+00:00,9896,16,3.088,1270,0.75
2025-10-05T12:04:34.015000+00:00,9896,18,7.52,1270,0.937
2025-10-05T12:04:34.081000+00:00,9896,12,3.607,1270,0.519
2025-10-05T12:04:34.267000+00:00,9896,5,7.77,1270,0.25
2025-10-05T12:04:34.699000+00:00,9896,44,4.177,1270,0.57
2025-10-05T12:04:34.770000+00:00,9896,22,8.29,1270,0.52
2025-10-05T12:04:35.099000+00:00,9896,31,8.625,1270,0.335
2025-10-05T12:04:35.438000+00:00,9896,55,8.921,1270,0.296
2025-10-05T12:04:35.633000+00:00,9896,6,5.094,1270,0.917
2025-10-05T12:04:35.688000+00:00,9896,10,9.222,1270,0.301
2025-10-05T12:04:36.037000+00:00,9896,14,5.51,1270,0.416
2025-10-05T12:04:36.114000+00:00,9896,23,9.673,1270,0.451
2025-10-05T12:04:36.522000+00:00,9896,87,5.991,1270,0.481
2025-10-05T12:04:36.830000+00:00,9896,27,6.34,1270,0.349
2025-10-05T12:04:37.342000+00:00,9896,1,1.351,1270,1.351
2025-10-05T12:04:37.391000+00:00,9896,30,6.745,1270,0.405
2025-10-05T12:04:37.694000+00:00,9896,43,7.141,1270,0.396
2025-10-05T12:04:37.888000+00:00,9896,4,1.879,1270,0.528
2025-10-05T12:04:38.551000+00:00,9896,81,2.579,1270,0.7
2025-10-05T12:04:38.574000+00:00,9896,18,8.054,1270,0.913
2025-10-05T12:04:38.884000+00:00,9896,5,8.343,1270,0.289
2025-10-05T12:04:39.270000+00:00,9896,16,3.3,1270,0.721
2025-10-05T12:04:39.488000+00:00,9896,22,8.955,1270,0.612
2025-10-05T12:04:39.834000+00:00,9896,12,3.869,1270,0.569
2025-10-05T12:04:39.834000+00:00,9896,31,9.289,1270,0.334
2025-10-05T12:04:40.170000+00:00,9896,55,9.651,1270,0.362
2025-10-05T12:04:40.498000+00:00,9896,44,4.536,1270,0.667
2025-10-05T12:04:40.578000+00:00,9896,10,10.07,1270,0.419
2025-10-05T12:04:40.916000+00:00,9896,23,10.424,1270,0.354
2025-10-05T12:04:41.493000+00:00,9896,6,5.511,1270,0.975
